scenario_id,label,expected_syndrome,observed_syndrome,expected_probability,observed_probability,off_expected_probability,counts
0,no_error,00,00,0.9609375,0.9609375,0.0390625,"{""00"": 984, ""01"": 19, ""10"": 20, ""11"": 1}"
1,x0,01,01,0.9541015625,0.9541015625,0.0458984375,"{""00"": 29, ""01"": 977, ""10"": 1, ""11"": 17}"
2,x1,11,11,0.955078125,0.955078125,0.044921875,"{""00"": 1, ""01"": 26, ""10"": 19, ""11"": 978}"
3,x2,10,10,0.958984375,0.958984375,0.041015625,"{""00"": 22, ""10"": 982, ""11"": 20}"
