seed,samples,attempts,baseline_logical_failure_rate,oracle_best_logical_failure_rate,qdsv_raw_logical_failure_rate,qdsv_guarded_logical_failure_rate,baseline_logical_success_rate,oracle_best_logical_success_rate,qdsv_raw_logical_success_rate,qdsv_guarded_logical_success_rate,baseline_avg_logical_risk,oracle_best_avg_logical_risk,qdsv_raw_avg_logical_risk,qdsv_guarded_avg_logical_risk,avg_raw_risk_delta,avg_guarded_risk_delta,avg_raw_logical_failure_delta,avg_guarded_logical_failure_delta,raw_override_rate,guarded_override_accept_rate,guarded_override_reject_rate,raw_bad_override_rate,guarded_bad_override_rate,raw_successful_override_rate,guarded_successful_override_rate,raw_recovery_over_baseline_failure_rate,guarded_recovery_over_baseline_failure_rate,evidence_insufficient_rate,avg_qdsv_score_margin,avg_timing_candidate_ms,avg_timing_qdsv_ms,avg_timing_total_ms
710001,40,40,0.15,0.0,0.0,0.0,0.85,1.0,1.0,1.0,104.65,71.0,71.0,71.0,33.65,33.65,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.15,0.15,1.0,1.0,0.0,320.21119141863284,7.3445724999601225,2.7964225000232545,12.352827499989871
710002,40,40,0.1,0.0,0.0,0.0,0.9,1.0,1.0,1.0,100.7,71.25,71.25,71.25,29.45,29.45,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,1.0,1.0,0.0,321.7567795807668,7.134967500178391,2.7168699999037926,11.870890000091094
710003,40,40,0.2,0.0,0.0,0.0,0.8,1.0,1.0,1.0,121.15,71.0,71.0,71.0,50.15,50.15,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,1.0,1.0,0.0,317.45373557336063,7.3039999997945415,2.8164550000383315,12.396129999797267
710004,40,40,0.05,0.0,0.0,0.0,0.95,1.0,1.0,1.0,80.4,71.0,71.0,71.0,9.4,9.4,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.05,0.05,1.0,1.0,0.0,320.27824038711424,7.405957499940996,2.8704500000003463,12.560142499887661
710005,40,40,0.125,0.0,0.0,0.0,0.875,1.0,1.0,1.0,98.8,71.5,71.5,71.5,27.3,27.3,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.125,0.125,1.0,1.0,0.0,319.760307370408,7.59225749993675,2.798582500054181,12.756832499962911
710006,40,40,0.175,0.0,0.0,0.0,0.825,1.0,1.0,1.0,112.65,70.5,70.5,70.5,42.15,42.15,0.175,0.175,0.175,0.175,0.0,0.0,0.0,0.175,0.175,1.0,1.0,0.0,319.58821970754536,7.080682499918112,2.780452500019237,11.985179999965112
710007,40,40,0.075,0.0,0.0,0.0,0.925,1.0,1.0,1.0,89.55,70.25,70.25,70.25,19.3,19.3,0.075,0.075,0.075,0.075,0.0,0.0,0.0,0.075,0.075,1.0,1.0,0.0,319.7183683648956,7.402147500033607,2.8146025000296504,12.43409250005243
710008,40,40,0.1,0.0,0.0,0.0,0.9,1.0,1.0,1.0,89.8,70.75,70.75,70.75,19.05,19.05,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,1.0,1.0,0.0,319.90720328515215,7.09381749993554,2.7200225001251965,11.878245000025345
