seed,samples,attempts,baseline_logical_failure_rate,oracle_best_logical_failure_rate,qdsv_raw_logical_failure_rate,qdsv_guarded_logical_failure_rate,baseline_logical_success_rate,oracle_best_logical_success_rate,qdsv_raw_logical_success_rate,qdsv_guarded_logical_success_rate,baseline_avg_logical_risk,oracle_best_avg_logical_risk,qdsv_raw_avg_logical_risk,qdsv_guarded_avg_logical_risk,avg_raw_risk_delta,avg_guarded_risk_delta,avg_raw_logical_failure_delta,avg_guarded_logical_failure_delta,raw_override_rate,guarded_override_accept_rate,guarded_override_reject_rate,raw_bad_override_rate,guarded_bad_override_rate,raw_successful_override_rate,guarded_successful_override_rate,raw_recovery_over_baseline_failure_rate,guarded_recovery_over_baseline_failure_rate,evidence_insufficient_rate,avg_qdsv_score_margin,avg_timing_candidate_ms,avg_timing_qdsv_ms,avg_timing_total_ms
510001,40,40,0.05,0.0,0.0,0.0,0.95,1.0,1.0,1.0,62.75,50.0,50.0,50.0,12.75,12.75,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.05,0.05,1.0,1.0,0.0,309.02858316770187,4.770137499917837,4.064259999995556,11.324645000013334
510002,40,40,0.075,0.0,0.0,0.0,0.925,1.0,1.0,1.0,62.75,50.0,50.0,50.0,12.75,12.75,0.075,0.075,0.075,0.075,0.0,0.0,0.0,0.075,0.075,1.0,1.0,0.0,306.73235642857145,6.121947500196256,4.76666750005279,14.15113249991009
510003,40,40,0.075,0.0,0.0,0.0,0.925,1.0,1.0,1.0,62.75,50.0,50.0,50.0,12.75,12.75,0.075,0.075,0.075,0.075,0.0,0.0,0.0,0.075,0.075,1.0,1.0,0.0,306.79123403726715,4.92134500004795,4.274729999860938,11.896832499951415
510004,40,40,0.05,0.0,0.0,0.0,0.95,1.0,1.0,1.0,62.75,50.0,50.0,50.0,12.75,12.75,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.05,0.05,1.0,1.0,0.0,308.52748664596277,4.30205500001648,3.8936050000302203,10.409987500042917
510005,40,40,0.075,0.0,0.0,0.0,0.925,1.0,1.0,1.0,67.0,50.0,50.0,50.0,17.0,17.0,0.075,0.075,0.075,0.075,0.0,0.0,0.0,0.075,0.075,1.0,1.0,0.0,307.49234186335406,8.946394999929907,8.416460000080406,22.423747499988167
510006,40,40,0.075,0.0,0.0,0.0,0.925,1.0,1.0,1.0,62.75,50.0,50.0,50.0,12.75,12.75,0.075,0.075,0.075,0.075,0.0,0.0,0.0,0.075,0.075,1.0,1.0,0.0,306.48608121118014,12.320364999868616,10.996902500028227,29.724784999825715
510007,40,40,0.1,0.0,0.0,0.0,0.9,1.0,1.0,1.0,71.25,50.0,50.0,50.0,21.25,21.25,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,1.0,1.0,0.0,306.17513512422363,11.301742500063483,10.969745000238618,28.703637500166224
510008,40,40,0.15,0.0,0.0,0.0,0.85,1.0,1.0,1.0,79.75,50.0,50.0,50.0,29.75,29.75,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.15,0.15,1.0,1.0,0.0,306.2179888198758,10.871002499925453,9.92303000011816,26.993704999995316
