seed,samples,attempts,bp_exact_rate,qdsv_exact_rate,bp_failure_proxy_rate,qdsv_failure_proxy_rate,bp_avg_logical_risk,qdsv_avg_logical_risk,avg_risk_delta,improved_risk_count,worse_risk_count,avg_exact_delta,avg_failure_delta
410001,21,1000,0.0,0.5238095238095238,0.47619047619047616,0.14285714285714285,144.0,106.85714285714286,37.142857142857146,8,2,0.5238095238095238,0.3333333333333333
410002,16,1000,0.0,0.6875,0.375,0.25,196.5625,130.9375,65.625,7,3,0.6875,0.125
410003,30,1000,0.0,0.5666666666666667,0.7666666666666667,0.36666666666666664,186.7,148.4,38.3,13,4,0.5666666666666667,0.4
410004,12,1000,0.0,0.25,0.4166666666666667,0.3333333333333333,80.75,79.75,1.0,1,1,0.25,0.08333333333333333
410005,18,1000,0.0,0.6111111111111112,0.16666666666666666,0.1111111111111111,260.3333333333333,181.83333333333334,78.5,10,2,0.6111111111111112,0.05555555555555555
410006,13,1000,0.0,0.46153846153846156,0.6153846153846154,0.3076923076923077,163.0,132.07692307692307,30.923076923076923,5,1,0.46153846153846156,0.3076923076923077
410007,34,1000,0.0,0.35294117647058826,0.6176470588235294,0.38235294117647056,117.82352941176471,110.76470588235294,7.0588235294117645,7,6,0.35294117647058826,0.23529411764705882
410008,24,1000,0.0,0.7916666666666666,0.4583333333333333,0.041666666666666664,171.0,142.5,28.5,10,9,0.7916666666666666,0.4166666666666667
